year,year_type,state_name,state_code,category,variable_id,variable_name,value,unit,confidence,original_value,original_unit,notes
1975,CY,New South Wales,NSW,herd,herd_dairy_cattle,Dairy cattle numbers,571000.0,head,high,571000.0,head,
1975,FY,New South Wales,NSW,herd,herd_dairy_cows,Dairy cow numbers,384410.0,head,high,384.41,'000,
1975,CY,New South Wales,NSW,herd,herd_total_cattle,Total cattle numbers,8935100.0,head,high,8935100.0,head,
1975,FY,New South Wales,NSW,production,prod_milk_total,Total milk production,985.0,megalitres,high,985.0,ML,
1975,CY,Northern Territory,NT,herd,herd_total_cattle,Total cattle numbers,1434000.0,head,high,1434000.0,head,
1975,CY,Queensland,QLD,herd,herd_dairy_cattle,Dairy cattle numbers,473960.0,head,high,473960.0,head,
1975,FY,Queensland,QLD,herd,herd_dairy_cows,Dairy cow numbers,330035.0,head,high,330.035,'000,
1975,CY,Queensland,QLD,herd,herd_total_cattle,Total cattle numbers,10879000.0,head,high,10879000.0,head,
1975,FY,Queensland,QLD,production,prod_milk_total,Total milk production,691.0,megalitres,high,691.0,ML,
1975,CY,South Australia,SA,herd,herd_dairy_cattle,Dairy cattle numbers,204000.0,head,high,204000.0,head,
1975,FY,South Australia,SA,herd,herd_dairy_cows,Dairy cow numbers,134958.0,head,high,134.958,'000,
1975,CY,South Australia,SA,herd,herd_total_cattle,Total cattle numbers,1868700.0,head,high,1868700.0,head,
1975,FY,South Australia,SA,production,prod_milk_total,Total milk production,398.0,megalitres,high,398.0,ML,
1975,CY,Tasmania,TAS,herd,herd_dairy_cattle,Dairy cattle numbers,219589.0,head,high,219589.0,head,
1975,FY,Tasmania,TAS,herd,herd_dairy_cows,Dairy cow numbers,143310.0,head,high,143.31,'000,
1975,CY,Tasmania,TAS,herd,herd_total_cattle,Total cattle numbers,921000.0,head,high,921000.0,head,
1975,FY,Tasmania,TAS,production,prod_milk_total,Total milk production,434.0,megalitres,high,434.0,ML,
1975,CY,Victoria,VIC,herd,herd_dairy_cattle,Dairy cattle numbers,1897000.0,head,high,1897000.0,head,
1975,FY,Victoria,VIC,herd,herd_dairy_cows,Dairy cow numbers,1257890.0,head,high,1257.89,'000,
1975,CY,Victoria,VIC,herd,herd_total_cattle,Total cattle numbers,6192400.0,head,high,6192400.0,head,
1975,FY,Victoria,VIC,production,prod_milk_total,Total milk production,3518.0,megalitres,high,3518.0,ML,
1975,CY,Western Australia,WA,herd,herd_dairy_cattle,Dairy cattle numbers,159280.0,head,high,159280.0,head,
1975,FY,Western Australia,WA,herd,herd_dairy_cows,Dairy cow numbers,93188.0,head,high,93.188,'000,
1975,CY,Western Australia,WA,herd,herd_total_cattle,Total cattle numbers,2544000.0,head,high,2544000.0,head,
1975,FY,Western Australia,WA,production,prod_milk_total,Total milk production,240.0,megalitres,high,240.0,ML,
1976,CY,Australian Capital Territory,ACT,herd,herd_dairy_cattle,Dairy cattle numbers,1000.0,head,high,1000.0,head,
1976,CY,Australian Capital Territory,ACT,herd,herd_total_cattle,Total cattle numbers,23000.0,head,high,23000.0,head,
1976,CY,Australia (National),AUS,herd,herd_dairy_cattle,Dairy cattle numbers,3528000.0,head,high,3528000.0,head,
1976,FY,Australia (National),AUS,herd,herd_dairy_cows,Dairy cow numbers,2279000.0,head,high,2279.0,head,
1976,CY,Australia (National),AUS,herd,herd_total_cattle,Total cattle numbers,33433600.0,head,high,33433600.0,head,
1976,FY,Australia (National),AUS,herd,herd_yield_per_cow,Yield per cow,2532.69,litres,high,2532.69,litres,
1976,FY,Australia (National),AUS,price,price_export_butter,Export butter price,112.3894,cents_per_kg,high,1123.894,cents_per_kg,
1976,FY,Australia (National),AUS,price,price_export_cheese,Export cheese price,107.04760000000002,cents_per_kg,high,1070.476,cents_per_kg,
